seed,score,lowestFaceDown,completedRuns,depth,nodes
727,-24910,41,0,3,507
730,-24910,41,0,3,368
734,-24910,41,0,3,304
737,-24910,41,0,3,752
759,-24910,41,0,3,552
763,-24910,41,0,3,508
768,-24910,41,0,3,562
771,-24910,41,0,3,490
778,-24910,41,0,3,423
792,-24910,41,0,3,552
801,-24910,41,0,3,210
804,-24910,41,0,3,382
819,-24910,41,0,3,182
825,-24910,41,0,3,520
834,-24910,41,0,3,687
841,-24910,41,0,3,597
845,-24910,41,0,3,297
861,-24910,41,0,3,720
870,-24910,41,0,3,449
875,-24910,41,0,3,780
886,-24910,41,0,3,501
467,-25025,41,0,5,2024
999,-25025,41,0,5,1890
43,-25025,41,0,4,696
270,-25025,41,0,4,714
452,-25025,41,0,4,714
13,-25025,41,0,3,283
58,-25025,41,0,3,302
69,-25025,41,0,3,484
147,-25025,41,0,3,366
288,-25025,41,0,3,500
356,-25025,41,0,3,614
400,-25025,41,0,3,289
404,-25025,41,0,3,485
460,-25025,41,0,3,876
711,-25025,41,0,3,945
738,-25025,41,0,3,395
739,-25025,41,0,3,464
796,-25025,41,0,3,411
800,-25025,41,0,3,232
869,-25025,41,0,3,557
34,-25140,41,0,5,1611
851,-25140,41,0,5,1725
49,-25140,41,0,4,559
475,-25140,41,0,4,630
549,-25430,41,0,5,2227
659,-25535,41,0,5,1116
